Transaction_ID,Timestamp,Store,Cashier_ID,Transaction_Type,Payment_Method,Amount_USD
TXN-10080,23/05/2026 15:26,Store 6,100,Completed,Mobile App,37.81
TXN-10081,19/05/2026 16:02,Store 1,104,Completed,Credit Card,28.35
TXN-10082,28/05/2026 19:52,Store 6,110,Completed,Mobile App,22.84
TXN-10083,04/05/2026 18:46,Store 1,105,Completed,Credit Card,11.92
TXN-10084,06/05/2026 9:37,Store 6,105,Completed,Mobile App,35.32
TXN-10085,22/05/2026 20:36,Store 1,109,Completed,Credit Card,22.72
TXN-10086,21/05/2026 21:09,Store 4,110,Discount applied,Credit Card,34.1
TXN-10087,08/05/2026 16:42,Store 4,106,Completed,Cash,30.86
TXN-10088,04/05/2026 12:21,Store 6,104,Completed,Credit Card,38.77
TXN-10089,08/05/2026 18:27,Store 6,109,Completed,Mobile App,16.62
TXN-10090,18/05/2026 7:44,Store 3,102,Completed,Credit Card,7.45
TXN-10091,21/05/2026 11:31,Store 2,100,Completed,Mobile App,33.71
TXN-10092,30/05/2026 19:34,Store 1,110,Refund,Credit Card,10.47
TXN-10093,18/05/2026 7:52,Store 5,101,Completed,Credit Card,37.31
TXN-10094,14/05/2026 11:54,Store 6,104,Completed,Mobile App,42.92
TXN-10095,24/05/2026 20:10,Store 1,105,Completed,Credit Card,15.65
TXN-10096,24/05/2026 7:34,Store 6,106,Completed,Credit Card,6.22
TXN-10097,09/05/2026 7:46,Store 4,109,Completed,Credit Card,14.91
TXN-10098,25/05/2026 19:32,Store 3,103,Completed,Mobile App,21.31
TXN-10099,27/05/2026 9:55,Store 3,108,Completed,Cash,13
TXN-10100,15/05/2026 18:30,Store 3,103,Completed,Credit Card,18.11
TXN-10101,21/05/2026 20:25,Store 5,102,Completed,Cash,22.4
TXN-10102,15/05/2026 18:39,Store 3,106,Completed,Cash,38.4
TXN-10103,18/05/2026 17:51,Store 5,109,Completed,Mobile App,40.48
TXN-10104,15/05/2026 15:57,Store 5,102,Completed,Credit Card,39.83
TXN-10105,14/05/2026 12:34,Store 2,107,Completed,Mobile App,35.33
TXN-10106,15/05/2026 12:38,Store 1,102,Completed,Cash,7.27
TXN-10107,18/05/2026 21:27,Store 3,105,Completed,Cash,32.4
TXN-10108,02/05/2026 10:09,Store 5,109,Completed,Cash,23.81
TXN-10109,07/05/2026 20:08,Store 2,104,Completed,Cash,28.06
TXN-10110,03/05/2026 20:58,Store 3,103,Completed,Credit Card,13.45
TXN-10111,27/05/2026 12:32,Store 5,104,Completed,Cash,31.79
TXN-10112,23/05/2026 10:58,Store 2,106,Completed,Mobile App,41.63
TXN-10113,16/05/2026 9:33,Store 4,105,Completed,Mobile App,23.78
TXN-10114,04/05/2026 15:48,Store 4,104,Completed,Credit Card,30.09
TXN-10115,22/05/2026 20:13,Store 2,100,Completed,Cash,25.78
TXN-10116,07/05/2026 20:39,Store 3,101,Completed,Credit Card,26.22
TXN-10117,13/05/2026 8:52,Store 2,109,Completed,Credit Card,33.82
TXN-10118,16/05/2026 19:10,Store 3,103,Completed,Cash,10.98
TXN-10119,27/05/2026 8:39,Store 3,108,Completed,Mobile App,43.95
TXN-10120,20/05/2026 20:04,Store 6,110,Completed,Mobile App,17.53
TXN-10121,04/05/2026 7:20,Store 2,104,Completed,Credit Card,19.79
TXN-10122,11/05/2026 18:14,Store 5,106,Completed,Cash,13.22
TXN-10123,23/05/2026 14:35,Store 5,106,Completed,Credit Card,42.32
TXN-10124,04/05/2026 7:36,Store 5,105,Completed,Credit Card,34.85
TXN-10125,17/05/2026 16:55,Store 1,101,Completed,Cash,24.13
TXN-10126,05/05/2026 11:54,Store 1,100,Discount applied,Cash,34.26
TXN-10127,28/05/2026 14:04,Store 3,104,Completed,Credit Card,14.95
TXN-10128,16/05/2026 18:12,Store 6,104,Completed,Cash,15.62
TXN-10129,01/05/2026 17:54,Store 5,104,Completed,Cash,22.29
TXN-10130,17/05/2026 10:44,Store 3,110,Completed,Cash,14.48
TXN-10131,17/05/2026 19:53,Store 1,100,Completed,Mobile App,22.91
TXN-10132,21/05/2026 18:27,Store 2,108,Completed,Cash,27.97
TXN-10133,05/05/2026 10:45,Store 4,105,Completed,Cash,41
TXN-10134,07/05/2026 10:34,Store 2,110,Completed,Credit Card,24.32
TXN-10135,13/05/2026 19:03,Store 2,106,Completed,Cash,41.02
TXN-10136,13/05/2026 13:04,Store 4,105,Completed,Credit Card,22.95
TXN-10137,26/05/2026 19:51,Store 5,100,Completed,Credit Card,7.18
TXN-10138,22/05/2026 8:29,Store 2,100,Completed,Credit Card,25.1
TXN-10139,05/05/2026 12:31,Store 5,100,Completed,Mobile App,7.79
TXN-10140,29/05/2026 14:35,Store 2,107,Completed,Credit Card,23.48
TXN-10141,29/05/2026 20:15,Store 3,103,Completed,Credit Card,19.3
TXN-10142,14/05/2026 8:30,Store 2,110,Completed,Mobile App,11.71
TXN-10143,04/05/2026 16:10,Store 2,107,Completed,Credit Card,5.12
TXN-10144,04/05/2026 12:42,Store 5,102,Completed,Credit Card,40.19
TXN-10145,05/05/2026 21:54,Store 3,100,Completed,Cash,11.24
TXN-10146,28/05/2026 20:52,Store 6,108,Completed,Cash,28.46
TXN-10147,07/05/2026 20:43,Store 5,105,Refund,Cash,18.55
TXN-10148,28/05/2026 7:12,Store 6,109,Completed,Mobile App,20.16
TXN-10149,18/05/2026 19:24,Store 5,108,Completed,Credit Card,12.36
TXN-10150,22/05/2026 17:38,Store 3,108,Completed,Cash,24.45
TXN-10151,01/05/2026 20:18,Store 3,106,Completed,Credit Card,13.3
TXN-10152,25/05/2026 14:04,Store 1,109,Completed,Credit Card,21.26
TXN-10153,02/05/2026 11:44,Store 2,107,Completed,Mobile App,31.85
TXN-10154,28/05/2026 10:11,Store 4,104,Discount applied,Mobile App,12.24
TXN-10155,29/05/2026 13:27,Store 5,100,Refund,Credit Card,10.14
TXN-10156,25/05/2026 12:16,Store 6,102,Completed,Cash,31.83
TXN-10157,04/05/2026 15:19,Store 1,101,Completed,Credit Card,21.92
TXN-10158,30/05/2026 16:35,Store 3,109,Completed,Mobile App,12.49
TXN-10159,29/05/2026 18:15,Store 2,109,Completed,Credit Card,39.91
TXN-10160,25/05/2026 18:17,Store 5,108,Completed,Cash,42.37
TXN-10161,01/05/2026 11:54,Store 3,109,Completed,Credit Card,42.4
TXN-10162,19/05/2026 12:28,Store 5,104,Completed,Credit Card,12.39
TXN-10163,26/05/2026 12:32,Store 6,102,Discount applied,Cash,32.72
TXN-10164,14/05/2026 16:47,Store 2,101,Completed,Mobile App,33.31
TXN-10165,12/05/2026 9:14,Store 4,106,Completed,Credit Card,36.05
TXN-10166,21/05/2026 11:53,Store 6,110,Completed,Credit Card,28.27
TXN-10167,06/05/2026 9:16,Store 5,106,Completed,Credit Card,18.11
TXN-10168,10/05/2026 21:04,Store 3,103,Completed,Mobile App,19.61
TXN-10169,21/05/2026 19:55,Store 3,105,Completed,Credit Card,22.53
TXN-10170,12/05/2026 17:29,Store 5,100,Completed,Cash,14.72
TXN-10171,29/05/2026 13:32,Store 6,108,Completed,Credit Card,6.25
TXN-10172,13/05/2026 18:39,Store 6,100,Completed,Credit Card,37.7
TXN-10173,06/05/2026 21:54,Store 4,102,Completed,Cash,33.56
TXN-10174,20/05/2026 10:29,Store 3,104,Completed,Mobile App,15.44
TXN-10175,08/05/2026 20:21,Store 2,104,Completed,Credit Card,17.43
TXN-10176,23/05/2026 20:00,Store 2,102,Discount applied,Cash,11.98
TXN-10177,29/05/2026 16:28,Store 2,108,Completed,Mobile App,27.32
TXN-10178,27/05/2026 17:31,Store 4,109,Completed,Cash,12.62
TXN-10179,12/05/2026 17:52,Store 3,103,Completed,Mobile App,9.39
TXN-10180,16/05/2026 10:38,Store 2,107,Completed,Mobile App,16.88
TXN-10181,24/05/2026 17:39,Store 4,106,Completed,Mobile App,17.23
TXN-10182,18/05/2026 17:25,Store 1,109,Void,Credit Card,25.05
TXN-10183,29/05/2026 16:35,Store 1,105,Completed,Credit Card,12.19
TXN-10184,06/05/2026 13:16,Store 2,108,Completed,Cash,20.91
TXN-10185,15/05/2026 20:33,Store 2,105,Completed,Credit Card,16.83
TXN-10186,13/05/2026 7:42,Store 6,108,Void,Mobile App,5.8
TXN-10187,11/05/2026 21:04,Store 3,100,Completed,Credit Card,37.86
TXN-10188,07/05/2026 15:12,Store 4,109,Completed,Mobile App,5.87
TXN-10189,05/05/2026 7:38,Store 3,102,Completed,Credit Card,15.4
TXN-10190,11/05/2026 9:48,Store 3,102,Completed,Credit Card,40.74
TXN-10191,12/05/2026 18:01,Store 3,102,Completed,Credit Card,6.7
TXN-10192,13/05/2026 7:55,Store 1,106,Discount applied,Mobile App,21.76
TXN-10193,04/05/2026 9:12,Store 6,109,Completed,Credit Card,40.33
TXN-10194,18/05/2026 14:50,Store 2,100,Completed,Cash,40.46
TXN-10195,12/05/2026 14:17,Store 3,108,Completed,Credit Card,41.56
TXN-10196,30/05/2026 15:00,Store 3,100,Completed,Credit Card,37.08
TXN-10197,07/05/2026 19:02,Store 3,102,Completed,Credit Card,38.58
TXN-10198,08/05/2026 19:49,Store 2,106,Completed,Mobile App,17.59
TXN-10199,10/05/2026 15:48,Store 4,106,Completed,Cash,20.09
TXN-10200,11/05/2026 18:05,Store 3,103,Completed,Credit Card,17.26
TXN-10201,01/05/2026 12:58,Store 4,100,Completed,Cash,31
TXN-10202,10/05/2026 10:05,Store 1,110,Completed,Mobile App,17.72
TXN-10203,07/05/2026 14:58,Store 3,105,Completed,Credit Card,31.27
TXN-10204,13/05/2026 19:59,Store 2,101,Completed,Credit Card,36.15
TXN-10205,16/05/2026 15:17,Store 5,108,Completed,Cash,9.89
TXN-10206,11/05/2026 18:29,Store 5,100,Completed,Mobile App,43.84
TXN-10207,16/05/2026 13:36,Store 6,101,Completed,Credit Card,40.75
TXN-10208,26/05/2026 11:06,Store 4,110,Completed,Credit Card,30.87
TXN-10209,06/05/2026 12:11,Store 3,102,Completed,Mobile App,25.9
TXN-10210,18/05/2026 13:32,Store 1,101,Completed,Mobile App,9.7
TXN-10211,22/05/2026 17:09,Store 1,109,Completed,Credit Card,26.71
TXN-10212,26/05/2026 20:00,Store 5,105,Completed,Mobile App,21.9
TXN-10213,24/05/2026 7:25,Store 6,105,Completed,Cash,13.72
TXN-10214,02/05/2026 18:11,Store 2,104,Completed,Mobile App,44.32
TXN-10215,20/05/2026 19:29,Store 1,106,Completed,Mobile App,6.02
TXN-10216,19/05/2026 18:47,Store 4,100,Completed,Credit Card,20.59
TXN-10217,29/05/2026 20:10,Store 3,110,Completed,Credit Card,5.29
TXN-10218,13/05/2026 9:13,Store 5,106,Completed,Mobile App,44.01
TXN-10219,30/05/2026 21:46,Store 3,104,Completed,Mobile App,31.41
TXN-10220,05/05/2026 7:52,Store 4,101,Completed,Credit Card,40.9
TXN-10221,27/05/2026 18:36,Store 3,109,Completed,Mobile App,34.61
TXN-10222,15/05/2026 15:21,Store 6,100,Completed,Credit Card,5.49
TXN-10223,30/05/2026 8:27,Store 2,101,Completed,Mobile App,8.71
TXN-10224,15/05/2026 16:58,Store 5,106,Refund,Mobile App,8.05
TXN-10225,17/05/2026 7:33,Store 1,101,Completed,Credit Card,38.69
TXN-10226,02/05/2026 15:00,Store 2,105,Completed,Mobile App,30.67
TXN-10227,01/05/2026 12:54,Store 4,102,Completed,Credit Card,11.56
TXN-10228,16/05/2026 7:02,Store 6,104,Completed,Cash,11.11
TXN-10229,30/05/2026 12:40,Store 3,101,Completed,Credit Card,15.68
TXN-10230,16/05/2026 20:20,Store 3,100,Completed,Cash,36.91
TXN-10231,23/05/2026 13:52,Store 3,102,Completed,Credit Card,10.5
TXN-10232,01/05/2026 22:39,Store 3,103,Void,Cash,32.41
TXN-10233,30/05/2026 7:33,Store 6,101,Completed,Mobile App,37.41
TXN-10234,05/05/2026 19:19,Store 3,103,Completed,Mobile App,5.05
TXN-10235,07/05/2026 14:34,Store 1,110,Completed,Mobile App,22.97
TXN-10236,25/05/2026 19:30,Store 1,100,Completed,Mobile App,22.54
TXN-10237,20/05/2026 20:18,Store 6,105,Completed,Credit Card,41.65
TXN-10238,17/05/2026 17:04,Store 1,101,Void,Cash,10.36
TXN-10239,22/05/2026 18:23,Store 6,108,Completed,Cash,13.01
TXN-10240,09/05/2026 21:13,Store 2,110,Completed,Credit Card,16.88
TXN-10241,15/05/2026 10:15,Store 4,104,Completed,Mobile App,30.34
TXN-10242,26/05/2026 13:43,Store 2,107,Completed,Credit Card,16.78
TXN-10243,15/05/2026 12:33,Store 6,109,Completed,Credit Card,40.66
TXN-10244,26/05/2026 11:48,Store 3,108,Completed,Credit Card,30.65
TXN-10245,26/05/2026 15:06,Store 4,110,Completed,Mobile App,28.37
TXN-10246,05/05/2026 14:46,Store 4,100,Completed,Credit Card,40.57
TXN-10247,22/05/2026 17:41,Store 4,106,Completed,Credit Card,27.33
TXN-10248,19/05/2026 7:48,Store 6,105,Completed,Mobile App,31.06
TXN-10249,21/05/2026 7:25,Store 4,100,Void,Credit Card,32.26
TXN-10250,19/05/2026 20:18,Store 2,104,Completed,Credit Card,44.46
TXN-10251,29/05/2026 19:05,Store 1,105,Completed,Mobile App,19.18
TXN-10252,21/05/2026 10:22,Store 6,101,Completed,Credit Card,30.55
TXN-10253,17/05/2026 19:14,Store 4,100,Completed,Mobile App,39.69
TXN-10254,05/05/2026 14:22,Store 1,101,Completed,Credit Card,36.5
TXN-10255,26/05/2026 12:04,Store 2,105,Completed,Cash,29.12
TXN-10256,25/05/2026 17:42,Store 2,107,Completed,Cash,23.65
TXN-10257,02/05/2026 20:46,Store 1,100,Completed,Credit Card,32.06
TXN-10258,09/05/2026 16:38,Store 2,107,Completed,Mobile App,17.26
TXN-10259,29/05/2026 13:28,Store 4,101,Completed,Cash,17.57
TXN-10260,02/05/2026 17:51,Store 2,106,Completed,Credit Card,6.95
TXN-10261,29/05/2026 10:25,Store 4,105,Completed,Cash,37.95
TXN-10262,21/05/2026 10:58,Store 1,108,Completed,Mobile App,43.54
TXN-10263,10/05/2026 15:23,Store 2,108,Completed,Credit Card,41.71
TXN-10264,06/05/2026 15:46,Store 2,102,Completed,Credit Card,44.46
TXN-10265,26/05/2026 15:14,Store 6,101,Completed,Mobile App,27.75
TXN-10266,08/05/2026 17:31,Store 3,104,Completed,Mobile App,43.99
TXN-10267,12/05/2026 9:42,Store 4,102,Completed,Cash,36.9
TXN-10268,11/05/2026 10:49,Store 2,100,Completed,Mobile App,26.73
TXN-10269,02/05/2026 11:38,Store 5,100,Void,Mobile App,29.73
TXN-10270,12/05/2026 11:10,Store 4,106,Completed,Credit Card,33.18
TXN-10271,27/05/2026 12:26,Store 1,109,Completed,Cash,5.08
TXN-10272,12/05/2026 8:04,Store 5,106,Completed,Cash,15.32
TXN-10273,04/05/2026 19:59,Store 5,106,Completed,Cash,34.43
TXN-10274,15/05/2026 8:40,Store 1,108,Completed,Credit Card,37.18
TXN-10275,28/05/2026 14:32,Store 2,107,Refund,Credit Card,37.74
TXN-10276,30/05/2026 16:46,Store 5,108,Completed,Credit Card,19.57
TXN-10277,18/05/2026 11:23,Store 6,104,Completed,Mobile App,19.36
TXN-10278,02/05/2026 21:43,Store 3,110,Completed,Cash,13.45
TXN-10279,05/05/2026 18:24,Store 3,109,Completed,Credit Card,9.02
TXN-10280,14/05/2026 7:31,Store 2,110,Completed,Cash,6.4
TXN-10281,27/05/2026 19:29,Store 4,106,Completed,Credit Card,5.09
TXN-10282,05/05/2026 20:43,Store 3,101,Completed,Cash,10.05
TXN-10283,11/05/2026 10:28,Store 6,105,Completed,Credit Card,22.74
TXN-10284,21/05/2026 21:05,Store 3,102,Completed,Mobile App,34.17
TXN-10285,01/05/2026 14:09,Store 5,106,Completed,Mobile App,25.69
TXN-10286,07/05/2026 17:11,Store 4,100,Completed,Credit Card,17.63
TXN-10287,05/05/2026 17:13,Store 6,105,Completed,Cash,13.18
TXN-10288,12/05/2026 13:44,Store 2,101,Completed,Cash,44.4
TXN-10289,07/05/2026 8:25,Store 6,106,Completed,Mobile App,37.37
TXN-10290,04/05/2026 7:25,Store 2,110,Discount applied,Cash,33.01
TXN-10291,28/05/2026 14:18,Store 2,110,Completed,Cash,30.93
TXN-10292,23/05/2026 15:24,Store 2,105,Completed,Mobile App,36.49
TXN-10293,06/05/2026 21:41,Store 5,106,Completed,Mobile App,20.67
TXN-10294,12/05/2026 18:01,Store 1,102,Completed,Credit Card,43.51
TXN-10295,22/05/2026 7:55,Store 4,109,Completed,Credit Card,34.18
TXN-10296,10/05/2026 17:35,Store 4,104,Completed,Credit Card,34.4
TXN-10297,24/05/2026 19:13,Store 6,108,Completed,Mobile App,31.08
TXN-10298,05/05/2026 14:11,Store 1,108,Completed,Credit Card,23.23
TXN-10299,16/05/2026 13:26,Store 3,102,Completed,Credit Card,25.8
TXN-10300,18/05/2026 18:59,Store 2,104,Completed,Mobile App,43.43
TXN-10301,05/05/2026 22:27,Store 3,103,Void,Cash,24.12
TXN-10302,26/05/2026 11:38,Store 6,104,Completed,Cash,6.8
TXN-10303,04/05/2026 16:27,Store 1,110,Completed,Credit Card,29.82
TXN-10304,26/05/2026 12:32,Store 2,107,Completed,Credit Card,7.33
TXN-10305,30/05/2026 12:39,Store 2,106,Completed,Credit Card,9.22
TXN-10306,01/05/2026 13:00,Store 1,104,Completed,Credit Card,35.75
TXN-10307,14/05/2026 8:31,Store 4,104,Completed,Credit Card,44.78
TXN-10308,19/05/2026 20:48,Store 1,110,Completed,Mobile App,14.81
TXN-10309,28/05/2026 18:07,Store 5,106,Completed,Mobile App,40.85
TXN-10310,04/05/2026 21:51,Store 3,103,Completed,Cash,13.24
TXN-10311,21/05/2026 20:39,Store 4,101,Completed,Cash,33.34
TXN-10312,15/05/2026 9:55,Store 3,100,Completed,Credit Card,19.17
TXN-10313,22/05/2026 9:14,Store 3,100,Completed,Credit Card,29.92
TXN-10314,03/05/2026 12:53,Store 2,102,Completed,Cash,7.04
TXN-10315,06/05/2026 10:04,Store 2,107,Discount applied,Cash,18.1
TXN-10316,08/05/2026 17:15,Store 2,101,Completed,Cash,41.69
TXN-10317,13/05/2026 14:04,Store 1,101,Completed,Credit Card,11.07
TXN-10318,21/05/2026 14:55,Store 2,108,Completed,Credit Card,35.01
TXN-10319,16/05/2026 16:30,Store 4,110,Completed,Credit Card,40.92
TXN-10320,09/05/2026 9:30,Store 4,108,Void,Cash,5.51
TXN-10321,13/05/2026 20:28,Store 2,100,Completed,Credit Card,8.79
TXN-10322,27/05/2026 13:36,Store 2,110,Completed,Cash,40.38
TXN-10323,10/05/2026 12:24,Store 5,108,Completed,Credit Card,10.73
TXN-10324,29/05/2026 13:31,Store 5,104,Completed,Credit Card,8.75
TXN-10325,29/05/2026 20:01,Store 5,100,Completed,Credit Card,41.68
TXN-10326,09/05/2026 21:39,Store 4,110,Completed,Mobile App,16.73
TXN-10327,25/05/2026 21:48,Store 2,108,Completed,Credit Card,22.72
TXN-10328,16/05/2026 19:18,Store 6,106,Completed,Mobile App,28.56
TXN-10329,08/05/2026 16:31,Store 4,108,Completed,Credit Card,36.59
TXN-10330,24/05/2026 16:14,Store 1,102,Completed,Credit Card,10.66
TXN-10331,10/05/2026 20:48,Store 3,103,Completed,Credit Card,24.04
TXN-10332,30/05/2026 17:31,Store 1,100,Refund,Credit Card,18.15
TXN-10333,06/05/2026 7:13,Store 5,109,Completed,Mobile App,26.01
TXN-10334,27/05/2026 12:33,Store 4,104,Completed,Credit Card,20.51
TXN-10335,24/05/2026 10:48,Store 6,110,Completed,Cash,16.21
TXN-10336,24/05/2026 19:26,Store 4,110,Completed,Mobile App,32.55
TXN-10337,27/05/2026 18:43,Store 5,105,Completed,Cash,17.13
TXN-10338,28/05/2026 13:47,Store 4,109,Completed,Mobile App,41.46
TXN-10339,16/05/2026 10:53,Store 6,110,Completed,Cash,25.03
TXN-10340,21/05/2026 15:56,Store 4,100,Completed,Cash,24.52
TXN-10341,04/05/2026 19:08,Store 6,108,Completed,Cash,17.9
TXN-10342,22/05/2026 20:47,Store 3,103,Completed,Cash,29.14
TXN-10343,29/05/2026 11:47,Store 2,107,Completed,Credit Card,12.31
TXN-10344,26/05/2026 20:56,Store 2,108,Completed,Cash,15.21
TXN-10345,09/05/2026 14:19,Store 3,110,Completed,Cash,9.57
TXN-10346,17/05/2026 15:12,Store 2,105,Void,Credit Card,18.56
TXN-10347,23/05/2026 16:22,Store 3,106,Completed,Mobile App,40.03
TXN-10348,18/05/2026 8:25,Store 2,110,Completed,Credit Card,43.05
TXN-10349,22/05/2026 17:59,Store 3,103,Completed,Credit Card,5.16
TXN-10350,30/05/2026 16:46,Store 2,110,Completed,Credit Card,13.39
TXN-10351,29/05/2026 15:41,Store 1,109,Completed,Cash,31.97
TXN-10352,16/05/2026 19:15,Store 3,106,Completed,Credit Card,22.23
TXN-10353,18/05/2026 10:02,Store 5,109,Completed,Credit Card,10.3
TXN-10354,18/05/2026 7:44,Store 1,104,Completed,Cash,42.59
TXN-10355,13/05/2026 20:50,Store 3,103,Completed,Credit Card,35.76
TXN-10356,01/05/2026 19:38,Store 4,104,Completed,Cash,8.32
TXN-10357,18/05/2026 15:58,Store 4,109,Completed,Cash,12.82
TXN-10358,14/05/2026 10:22,Store 5,109,Completed,Mobile App,17.07
TXN-10359,23/05/2026 8:40,Store 6,105,Completed,Mobile App,29.59
TXN-10360,12/05/2026 18:53,Store 2,105,Completed,Credit Card,33.75
